Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Date,IFNULLSign,Table Name,ValueNumberSigns,DateAdd,Raw Value,ScaledValue,Suffix,Value
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/03/2004,$,investors,$,1/04/1999,5868800000,5.8688,b,5868.8
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/03/2004,$,investors,$,1/04/1999,806800000,806.8,m,806.8
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/04/2004,$,investors,$,1/05/1999,5100100000,5.1001,b,5100.1
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/04/2004,$,investors,$,1/05/1999,668000000,668,m,668
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/05/2004,$,investors,$,1/06/1999,5262100000,5.2621,b,5262.1
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/05/2004,$,investors,$,1/06/1999,973900000,973.9,m,973.9
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/06/2004,$,investors,$,1/07/1999,5207200000,5.2072,b,5207.2
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/06/2004,$,investors,$,1/07/1999,1071500000,1.0715,b,1071.5
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/07/2004,$,investors,$,1/08/1999,4670600000,4.6706,b,4670.6
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/07/2004,$,investors,$,1/08/1999,1003600000,1.0036,b,1003.6
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/08/2004,$,investors,$,1/09/1999,4696800000,4.6968,b,4696.8
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/08/2004,$,investors,$,1/09/1999,931200000,931.2,m,931.2
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/09/2004,$,investors,$,1/10/1999,4895600000,4.8956,b,4895.6
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/09/2004,$,investors,$,1/10/1999,795300000,795.3,m,795.3
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/10/2004,$,investors,$,1/11/1999,4406600000,4.4066,b,4406.6
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/10/2004,$,investors,$,1/11/1999,676900000,676.9,m,676.9
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/11/2004,$,investors,$,1/12/1999,5210400000,5.2104,b,5210.4
